,Headlines,Date,Open,High,Low,Close,Adj Close
0,Amazon’s rawly honest comedy of marriage careens to a satisfying finish.,2019-03-13,1683.0,1700.0,1679.3499760000002,1690.810059,1690.810059
1,A small and powerful society of Viners create Amazon’s reality. But is there such a thing as too much free stuff?,2019-01-26,1683.0,1700.0,1679.3499760000002,1690.810059,1690.810059
2,"Amazon’s offices in Queens will be built over an aging sewage system. The city says the pipes can handle the wastewater, but residents are worried.",2018-12-10,1623.839966,1657.98999,1590.869995,1641.030029,1641.030029
3,Subway leaders say the system is ready for Amazon’s new headquarters in Queens. But the city’s already struggling transportation network faces enormous challenges.,2018-11-20,1437.5,1534.75,1420.0,1495.459961,1495.459961
4,Mayor Bill de Blasio wants to extend a cap on Uber vehicles. The tech giant is fighting back.,2019-02-19,1601.0,1634.0,1600.560059,1627.579956,1627.579956
5,"Amazon defied expectations by splitting its second headquarters into two locations. For the internet company, it seems to be working out rather nicely.",2018-11-06,1618.349976,1665.0,1614.550049,1642.810059,1642.810059
6,The legislation would ban New York City from entering into nondisclosure agreements during negotiations about prospective development projects.,2018-12-20,1484.0,1509.5,1432.689941,1460.829956,1460.829956
7,The company’s decision could be a turning point for corporate-civic relations in the U.S. and a sign that leftist views are gaining traction.,2019-02-15,1627.859985,1628.910034,1604.5,1607.949951,1607.949951
8,Readers weigh in on the company’s minimum-pay increase.,2018-10-10,1857.890015,1858.560059,1754.410034,1755.25,1755.25
9,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for May.",2019-05-01,1933.089966,1943.640015,1910.550049,1911.52002,1911.52002
10,"The bidders came from 43 U.S. states, as well as Canada and Mexico. Amazon says the project will create 50,000 jobs, and that the winner will be announced next year.",2017-10-23,986.7299800000001,986.7800289999999,962.5,966.2999880000001,966.2999880000001
11,"“Increasingly, if you win on Amazon, you win, period,” a beverage executive says.",2017-07-31,1019.0499880000001,1019.0499880000001,987.0200199999999,987.7800289999999,987.7800289999999
12,"Apple reported record profit and sales, Amazon easily beat expectations, and Google-parent Alphabet posted a loss because of the new tax law.",2018-02-01,1445.0,1459.880005,1385.140015,1390.0,1390.0
13,"Watch the movies discussed in The New York Times’s recent roundtable, and a few others from a golden age for black auteurs in Hollywood.",2019-07-11,1445.0,1459.880005,1385.140015,1390.0,1390.0
14,"If the judgment of investors is any guide, Ross Stores, Home Depot and AutoZone may have the wherewithal to withstand the e-commerce titan, which just swallowed Whole Foods.",2017-08-28,946.5399779999999,953.0,942.25,946.0200199999999,946.0200199999999
15,"The company already has one of the most spectacular records in stock market history, enriching investors and making its founder a wealthy man.",2017-07-28,1012.1400150000001,1032.849976,1001.0,1020.0399779999999,1020.0399779999999
16,Here’s what you need to know to start your day.,2018-01-19,1312.0,1313.0,1292.98999,1294.579956,1294.579956
17,Here’s what you need to know to start your day.,2018-01-22,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059
18,"The defense secretary said he wants to study the deal, which had been expected to go to Amazon. President Trump had earlier raised concerns.",2019-08-01,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059
19,Toronto is the only city outside the United States on Amazon’s list. Its mayor credited Canada’s open approach to immigration and strong support for education.,2018-01-18,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946
