,Open,High,Low,Close,Headlines,Average Mean,Differential,Sentiment,Polarity
2016-06-30,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-01,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-02,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-03,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-04,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-05,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-06,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-07,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-08,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-09,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-10,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-11,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-12,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-13,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-14,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-15,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-16,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-17,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-18,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-19,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-20,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-21,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-22,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-23,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-24,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-25,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-26,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-27,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-28,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-29,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-30,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-07-31,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-01,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-02,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-03,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-04,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-05,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-06,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
